5.05,5.0225,4.9366,4.7849,4.5658,4.3,4.0342,3.8151,3.6634,3.5775,3.55,3.5775,3.6634,3.8151,4.0342,4.3,4.5658,4.785,4.9366,5.0225,5.05,4.3
0.5,0.73476,0.96255,1.1675,1.3182,1.375,1.3182,1.1675,0.96255,0.73476,0.5,0.26524,0.037452,-0.16748,-0.31819,-0.375,-0.31819,-0.16748,0.037454,0.26525,0.5,0.5
-12.012,-12.021,-12.049,-12.098,-12.17,-12.256,-12.342,-12.413,-12.463,-12.491,-12.5,-12.491,-12.463,-12.413,-12.342,-12.256,-12.17,-12.098,-12.049,-12.021,-12.012,-12.256
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
