-12.996,-12.836,-12.836,-12.36,-12.36,-12.36,-12.36,-12.208,-12.208,-12.208,-12.208,-11.755,-11.755,-11.755,-11.755,-11.58,-11.58,-11.013,-11.013,-11.013,-11.013,-10.514,-10.514,-10.514,-10.514,-10.385,-10.385,-10.385,-10.385,-9.9997,-9.9997,-9.9997,-9.9997,-9.9997,-9.9997,-9.9997,-9.9997,-9.3683,-9.3683,-9.3683,-9.3683,-9.1899,-9.1899,-8.7401,-8.7401,-8.7401,-8.7401,-8.5063,-8.5063,-8.5063,-8.5063,-7.6391,-7.6391,-7.6391,-7.6391,-7.5451,-7.5451,-7.5451,-7.5451,-7.4348,-7.4348,-7.4348,-7.4348,-7.2652,-7.2652,-7.2652,-7.2652,-7.2652,-7.2652,-7.2652,-7.2652,-6.8065,-6.8065,-6.8065,-6.8065,-6.1802,-6.1802,-6.1802,-6.1802,-6.1802,-6.1802,-6.1802,-6.1802,-5.9003,-5.6115,-5.6115,-5.4017,-5.4017,-5.4017,-5.4017,-4.7734,-4.7734,-4.4902,-4.4902,-4.4902,-4.4902,-4.0161,-4.0161,-4.0161,-3.9667,-3.9667,-3.9667,-3.9667,-3.8196,-3.8196,-3.8196,-3.8196,-3.8196,-3.8196,-3.5784,-3.5784,-3.5784,-3.5784,-3.4681,-3.4681,-3.2491,-3.2491,-3.2491,-3.2491,-3.2491,-3.2491,-2.8398,-2.8398,-2.8398,-2.8398,-2.3606,-2.3606,-2.3606,-2.3606,-2.3606,-2.3606,-2.0331,-1.9336,-1.9336,-1.8233,-1.8233,-1.6448,-1.6448,-1.241,-1.241,-1.195,-1.195,-0.62826,-0.62826,0,1.2449e-16,1.2449e-16,2.4592e-16,2.4592e-16,3.6129e-16,3.6129e-16,4.6776e-16,4.6776e-16,4.6776e-16,4.6776e-16,5.6272e-16,5.6272e-16,5.6272e-16,5.6272e-16,6.4382e-16,6.4382e-16,6.4382e-16,6.4382e-16,7.0906e-16,7.0906e-16,7.0906e-16,7.0906e-16,7.5685e-16,7.5685e-16,7.5685e-16,7.5685e-16,7.86e-16,7.86e-16,7.86e-16,7.86e-16,7.958e-16,7.958e-16,0.62826,0.62826,1.195,1.195,1.241,1.241,1.6448,1.6448,1.8233,1.8233,1.9336,1.9336,2.0331,2.3606,2.3606,2.3606,2.3606,2.3606,2.3606,2.8398,2.8398,2.8398,2.8398,3.2491,3.2491,3.2491,3.2491,3.2491,3.2491,3.4681,3.4681,3.5784,3.5784,3.5784,3.5784,3.8196,3.8196,3.8196,3.8196,3.8196,3.8196,3.9667,3.9667,3.9667,3.9667,4.0161,4.0161,4.0161,4.4902,4.4902,4.4902,4.4902,4.7734,4.7734,5.4017,5.4017,5.4017,5.4017,5.6115,5.6115,5.9003,6.1802,6.1802,6.1802,6.1802,6.1802,6.1802,6.1802,6.1802,6.8065,6.8065,6.8065,6.8065,7.2652,7.2652,7.2652,7.2652,7.2652,7.2652,7.2652,7.2652,7.4348,7.4348,7.4348,7.4348,7.5451,7.5451,7.5451,7.5451,7.6391,7.6391,7.6391,7.6391,8.5063,8.5063,8.5063,8.5063,8.7401,8.7401,8.7401,8.7401,9.1899,9.1899,9.3683,9.3683,9.3683,9.3683,9.9997,9.9997,9.9997,9.9997,9.9997,9.9997,9.9997,9.9997,10.385,10.385,10.385,10.385,10.514,10.514,10.514,10.514,11.013,11.013,11.013,11.013,11.58,11.58,11.755,11.755,11.755,11.755,12.208,12.208,12.208,12.208,12.36,12.36,12.36,12.36,12.836,12.836,12.996
0,0,0,-4.0161,0,0,4.0161,-3.9667,-3.9667,3.9667,3.9667,-3.8196,-3.8196,3.8196,3.8196,0,0,-3.5784,-3.5784,3.5784,3.5784,0,0,-7.6391,7.6391,-7.5451,-7.5451,7.5451,7.5451,-7.2652,-7.2652,-3.2491,-3.2491,3.2491,3.2491,7.2652,7.2652,-6.8065,-6.8065,6.8065,6.8065,0,0,-2.8398,-2.8398,2.8398,2.8398,-6.1802,-6.1802,6.1802,6.1802,0,0,-10.514,10.514,-10.385,-10.385,10.385,10.385,-5.4017,-5.4017,5.4017,5.4017,-2.3606,-2.3606,2.3606,2.3606,-9.9997,-9.9997,9.9997,9.9997,-9.3683,-9.3683,9.3683,9.3683,-4.4902,-4.4902,4.4902,4.4902,-8.5063,-8.5063,8.5063,8.5063,0,-1.8233,1.8233,-7.4348,-7.4348,7.4348,7.4348,-3.4681,3.4681,-6.1802,-6.1802,6.1802,6.1802,0,-12.36,12.36,-12.208,-12.208,12.208,12.208,-1.241,1.241,-11.755,-11.755,11.755,11.755,-11.013,-11.013,11.013,11.013,-4.7734,4.7734,-2.3606,2.3606,-9.9997,-9.9997,9.9997,9.9997,-8.7401,-8.7401,8.7401,8.7401,-3.2491,3.2491,-7.2652,-7.2652,7.2652,7.2652,0,-0.62826,0.62826,-5.6115,5.6115,-1.195,1.195,-3.8196,3.8196,-1.6448,1.6448,-1.9336,1.9336,0,-2.0331,2.0331,-4.0161,4.0161,-5.9003,5.9003,-7.6391,-7.6391,7.6391,7.6391,-9.1899,-9.1899,9.1899,9.1899,-10.514,-10.514,10.514,10.514,-11.58,-11.58,11.58,11.58,-12.36,-12.36,12.36,12.36,-12.836,-12.836,12.836,12.836,-12.996,12.996,-1.9336,1.9336,-1.6448,1.6448,-3.8196,3.8196,-1.195,1.195,-5.6115,5.6115,-0.62826,0.62826,0,-7.2652,-7.2652,-3.2491,3.2491,7.2652,7.2652,-8.7401,-8.7401,8.7401,8.7401,-9.9997,-9.9997,-2.3606,2.3606,9.9997,9.9997,-4.7734,4.7734,-11.013,-11.013,11.013,11.013,-11.755,-11.755,-1.241,1.241,11.755,11.755,-12.208,-12.208,12.208,12.208,-12.36,0,12.36,-6.1802,-6.1802,6.1802,6.1802,-3.4681,3.4681,-7.4348,-7.4348,7.4348,7.4348,-1.8233,1.8233,0,-8.5063,-8.5063,-4.4902,-4.4902,4.4902,4.4902,8.5063,8.5063,-9.3683,-9.3683,9.3683,9.3683,-9.9997,-9.9997,-2.3606,-2.3606,2.3606,2.3606,9.9997,9.9997,-5.4017,-5.4017,5.4017,5.4017,-10.385,-10.385,10.385,10.385,-10.514,0,0,10.514,-6.1802,-6.1802,6.1802,6.1802,-2.8398,-2.8398,2.8398,2.8398,0,0,-6.8065,-6.8065,6.8065,6.8065,-7.2652,-7.2652,-3.2491,-3.2491,3.2491,3.2491,7.2652,7.2652,-7.5451,-7.5451,7.5451,7.5451,-7.6391,0,0,7.6391,-3.5784,-3.5784,3.5784,3.5784,0,0,-3.8196,-3.8196,3.8196,3.8196,-3.9667,-3.9667,3.9667,3.9667,-4.0161,0,0,4.0161,0,0,0
0,-2.0333,2.0333,0,-4.0166,4.0166,0,-2.0333,2.0333,-2.0333,2.0333,-4.0166,4.0166,-4.0166,4.0166,-5.901,5.901,-5.901,5.901,-5.901,5.901,-7.64,7.64,0,0,-2.0333,2.0333,-2.0333,2.0333,-4.0166,4.0166,-7.64,7.64,-7.64,7.64,-4.0166,4.0166,-5.901,5.901,-5.901,5.901,-9.191,9.191,-9.191,9.191,-9.191,9.191,-7.64,7.64,-7.64,7.64,-10.516,10.516,0,0,-2.0333,2.0333,-2.0333,2.0333,-9.191,9.191,-9.191,9.191,-10.516,10.516,-10.516,10.516,-4.0166,4.0166,-4.0166,4.0166,-5.901,5.901,-5.901,5.901,-10.516,10.516,-10.516,10.516,-7.64,7.64,-7.64,7.64,-11.581,-11.581,-11.581,-9.191,9.191,-9.191,9.191,-11.581,-11.581,-10.516,10.516,-10.516,10.516,-12.362,0,0,-2.0333,2.0333,-2.0333,2.0333,-12.362,-12.362,-4.0166,4.0166,-4.0166,4.0166,-5.901,5.901,-5.901,5.901,-11.581,-11.581,-12.362,-12.362,-7.64,7.64,-7.64,7.64,-9.191,9.191,-9.191,9.191,-12.362,-12.362,-10.516,10.516,-10.516,10.516,-12.838,-12.838,-12.838,-11.581,-11.581,-12.838,-12.838,-12.362,-12.362,-12.838,-12.838,-12.838,-12.838,-12.998,-12.838,-12.838,-12.362,-12.362,-11.581,-11.581,-10.516,10.516,-10.516,10.516,-9.191,9.191,-9.191,9.191,-7.64,7.64,-7.64,7.64,-5.901,5.901,-5.901,5.901,-4.0166,4.0166,-4.0166,4.0166,-2.0333,2.0333,-2.0333,2.0333,0,0,-12.838,-12.838,-12.838,-12.838,-12.362,-12.362,-12.838,-12.838,-11.581,-11.581,-12.838,-12.838,-12.838,-10.516,10.516,-12.362,-12.362,-10.516,10.516,-9.191,9.191,-9.191,9.191,-7.64,7.64,-12.362,-12.362,-7.64,7.64,-11.581,-11.581,-5.901,5.901,-5.901,5.901,-4.0166,4.0166,-12.362,-12.362,-4.0166,4.0166,-2.0333,2.0333,-2.0333,2.0333,0,-12.362,0,-10.516,10.516,-10.516,10.516,-11.581,-11.581,-9.191,9.191,-9.191,9.191,-11.581,-11.581,-11.581,-7.64,7.64,-10.516,10.516,-10.516,10.516,-7.64,7.64,-5.901,5.901,-5.901,5.901,-4.0166,4.0166,-10.516,10.516,-10.516,10.516,-4.0166,4.0166,-9.191,9.191,-9.191,9.191,-2.0333,2.0333,-2.0333,2.0333,0,-10.516,10.516,0,-7.64,7.64,-7.64,7.64,-9.191,9.191,-9.191,9.191,-9.191,9.191,-5.901,5.901,-5.901,5.901,-4.0166,4.0166,-7.64,7.64,-7.64,7.64,-4.0166,4.0166,-2.0333,2.0333,-2.0333,2.0333,0,-7.64,7.64,0,-5.901,5.901,-5.901,5.901,-5.901,5.901,-4.0166,4.0166,-4.0166,4.0166,-2.0333,2.0333,-2.0333,2.0333,0,-4.0166,4.0166,0,-2.0333,2.0333,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
