0,-2.0331,-4.0161,-5.9003,-7.6391,-9.1899,-10.514,-11.58,-12.36,-12.836,-12.996,-12.836,-12.36,-11.58,-10.514,-9.1899,-7.6391,0,-1.9336,-3.8196,-5.6115,-7.2652,-8.7401,-9.9997,-11.013,-11.755,-12.208,-12.36,-12.208,-11.755,-11.013,-9.9997,-8.7401,-7.2652,0,-1.6448,-3.2491,-4.7734,-6.1802,-7.4348,-8.5063,-9.3683,-9.9997,-10.385,-10.514,-10.385,-9.9997,-9.3683,-8.5063,-7.4348,-6.1802,0,-1.195,-2.3606,-3.4681,-4.4902,-5.4017,-6.1802,-6.8065,-7.2652,-7.5451,-7.6391,-7.5451,-7.2652,-6.8065,-6.1802,-5.4017,-4.4902,0,-0.62826,-1.241,-1.8233,-2.3606,-2.8398,-3.2491,-3.5784,-3.8196,-3.9667,-4.0161,-3.9667,-3.8196,-3.5784,-3.2491,-2.8398,-2.3606,0,1.2449e-16,2.4592e-16,3.6129e-16,4.6776e-16,5.6272e-16,6.4382e-16,7.0906e-16,7.5685e-16,7.86e-16,7.958e-16,7.86e-16,7.5685e-16,7.0906e-16,6.4382e-16,5.6272e-16,4.6776e-16,0,0.62826,1.241,1.8233,2.3606,2.8398,3.2491,3.5784,3.8196,3.9667,4.0161,3.9667,3.8196,3.5784,3.2491,2.8398,2.3606,0,1.195,2.3606,3.4681,4.4902,5.4017,6.1802,6.8065,7.2652,7.5451,7.6391,7.5451,7.2652,6.8065,6.1802,5.4017,4.4902,0,1.6448,3.2491,4.7734,6.1802,7.4348,8.5063,9.3683,9.9997,10.385,10.514,10.385,9.9997,9.3683,8.5063,7.4348,6.1802,0,1.9336,3.8196,5.6115,7.2652,8.7401,9.9997,11.013,11.755,12.208,12.36,12.208,11.755,11.013,9.9997,8.7401,7.2652,0,2.0331,4.0161,5.9003,7.6391,9.1899,10.514,11.58,12.36,12.836,12.996,12.836,12.36,11.58,10.514,9.1899,7.6391,0,1.9336,3.8196,5.6115,7.2652,8.7401,9.9997,11.013,11.755,12.208,12.36,12.208,11.755,11.013,9.9997,8.7401,7.2652,0,1.6448,3.2491,4.7734,6.1802,7.4348,8.5063,9.3683,9.9997,10.385,10.514,10.385,9.9997,9.3683,8.5063,7.4348,6.1802,0,1.195,2.3606,3.4681,4.4902,5.4017,6.1802,6.8065,7.2652,7.5451,7.6391,7.5451,7.2652,6.8065,6.1802,5.4017,4.4902,0,0.62826,1.241,1.8233,2.3606,2.8398,3.2491,3.5784,3.8196,3.9667,4.0161,3.9667,3.8196,3.5784,3.2491,2.8398,2.3606,0,1.2449e-16,2.4592e-16,3.6129e-16,4.6776e-16,5.6272e-16,6.4382e-16,7.0906e-16,7.5685e-16,7.86e-16,7.958e-16,7.86e-16,7.5685e-16,7.0906e-16,6.4382e-16,5.6272e-16,4.6776e-16,0,-0.62826,-1.241,-1.8233,-2.3606,-2.8398,-3.2491,-3.5784,-3.8196,-3.9667,-4.0161,-3.9667,-3.8196,-3.5784,-3.2491,-2.8398,-2.3606,0,-1.195,-2.3606,-3.4681,-4.4902,-5.4017,-6.1802,-6.8065,-7.2652,-7.5451,-7.6391,-7.5451,-7.2652,-6.8065,-6.1802,-5.4017,-4.4902,0,-1.6448,-3.2491,-4.7734,-6.1802,-7.4348,-8.5063,-9.3683,-9.9997,-10.385,-10.514,-10.385,-9.9997,-9.3683,-8.5063,-7.4348,-6.1802,0,-1.9336,-3.8196,-5.6115,-7.2652,-8.7401,-9.9997,-11.013,-11.755,-12.208,-12.36,-12.208,-11.755,-11.013,-9.9997,-8.7401,-7.2652,0,-2.0331,-4.0161,-5.9003,-7.6391,-9.1899,-10.514,-11.58,-12.36,-12.836,-12.996,-12.836,-12.36,-11.58,-10.514,-9.1899,-7.6391,6,5.966,5.8644,5.6964,5.4638,5.1693,4.8163,4.4086,3.9511,3.4487,2.9073,2.3329,1.7322,1.1117,0.47872,-0.15972,-0.79635,-1.424,-2.0354,-2.6238,-3.1825,-3.7051,-4.1858,-4.619,-4.9999,-5.3241,-5.588,-5.7886,-5.9236,-5.9915,-5.9915,-5.9236,-5.7886,-5.588,-5.3241,-4.9999,-4.619,-4.1858,-3.7051,-3.1825,-2.6238,-2.0354,-1.424,-0.79635,-0.15972,0.47872,1.1117,1.7322,2.333,2.9073,3.4487,3.9511,4.4087,4.8163,5.1693,5.4638,5.6964,5.8644,5.966,6,-5.9072,-4.5626,-3.1056,-1.5722,0,-5.6181,-4.3393,-2.9536,-1.4952,0,-4.7791,-3.6912,-2.5125,-1.2719,0,-3.4722,-2.6818,-1.8254,-0.9241,0,-1.8254,-1.4099,-0.95969,-0.48583,0,3.6171e-16,2.7938e-16,1.9016e-16,9.6267e-17,0,1.8254,1.4099,0.95969,0.48583,0,3.4722,2.6818,1.8254,0.9241,0,4.7791,3.6912,2.5125,1.2719,0,5.6181,4.3393,2.9536,1.4952,0,5.9072,4.5626,3.1056,1.5722,0,5.6181,4.3393,2.9536,1.4952,0,4.7791,3.6912,2.5125,1.2719,0,3.4722,2.6818,1.8254,0.9241,0,1.8254,1.4099,0.95969,0.48583,0,3.6171e-16,2.7938e-16,1.9016e-16,9.6267e-17,0,-1.8254,-1.4099,-0.95969,-0.48583,0,-3.4722,-2.6818,-1.8254,-0.9241,0,-4.7791,-3.6912,-2.5125,-1.2719,0,-5.6181,-4.3393,-2.9536,-1.4952,0,-5.9072,-4.5626,-3.1056,-1.5722,0,6,5.966,5.8644,5.6964,5.4638,5.1693,4.8163,4.4086,3.9511,3.4487,2.9073,2.3329,1.7322,1.1117,0.47872,-0.15972,-0.79635,-1.424,-2.0354,-2.6238,-3.1825,-3.7051,-4.1858,-4.619,-4.9999,-5.3241,-5.588,-5.7886,-5.9236,-5.9915,-5.9915,-5.9236,-5.7886,-5.588,-5.3241,-4.9999,-4.619,-4.1858,-3.7051,-3.1825,-2.6238,-2.0354,-1.424,-0.79635,-0.15972,0.47872,1.1117,1.7322,2.333,2.9073,3.4487,3.9511,4.4087,4.8163,5.1693,5.4638,5.6964,5.8644,5.966,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62826,-1.241,-1.8233,-2.3606,-2.8398,-3.2491,-3.5784,-3.8196,-3.9667,-4.0161,-3.9667,-3.8196,-3.5784,-3.2491,-2.8398,-2.3606,0,-1.195,-2.3606,-3.4681,-4.4902,-5.4017,-6.1802,-6.8065,-7.2652,-7.5451,-7.6391,-7.5451,-7.2652,-6.8065,-6.1802,-5.4017,-4.4902,0,-1.6448,-3.2491,-4.7734,-6.1802,-7.4348,-8.5063,-9.3683,-9.9997,-10.385,-10.514,-10.385,-9.9997,-9.3683,-8.5063,-7.4348,-6.1802,0,-1.9336,-3.8196,-5.6115,-7.2652,-8.7401,-9.9997,-11.013,-11.755,-12.208,-12.36,-12.208,-11.755,-11.013,-9.9997,-8.7401,-7.2652,0,-2.0331,-4.0161,-5.9003,-7.6391,-9.1899,-10.514,-11.58,-12.36,-12.836,-12.996,-12.836,-12.36,-11.58,-10.514,-9.1899,-7.6391,0,-1.9336,-3.8196,-5.6115,-7.2652,-8.7401,-9.9997,-11.013,-11.755,-12.208,-12.36,-12.208,-11.755,-11.013,-9.9997,-8.7401,-7.2652,0,-1.6448,-3.2491,-4.7734,-6.1802,-7.4348,-8.5063,-9.3683,-9.9997,-10.385,-10.514,-10.385,-9.9997,-9.3683,-8.5063,-7.4348,-6.1802,0,-1.195,-2.3606,-3.4681,-4.4902,-5.4017,-6.1802,-6.8065,-7.2652,-7.5451,-7.6391,-7.5451,-7.2652,-6.8065,-6.1802,-5.4017,-4.4902,0,-0.62826,-1.241,-1.8233,-2.3606,-2.8398,-3.2491,-3.5784,-3.8196,-3.9667,-4.0161,-3.9667,-3.8196,-3.5784,-3.2491,-2.8398,-2.3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62826,1.241,1.8233,2.3606,2.8398,3.2491,3.5784,3.8196,3.9667,4.0161,3.9667,3.8196,3.5784,3.2491,2.8398,2.3606,0,1.195,2.3606,3.4681,4.4902,5.4017,6.1802,6.8065,7.2652,7.5451,7.6391,7.5451,7.2652,6.8065,6.1802,5.4017,4.4902,0,1.6448,3.2491,4.7734,6.1802,7.4348,8.5063,9.3683,9.9997,10.385,10.514,10.385,9.9997,9.3683,8.5063,7.4348,6.1802,0,1.9336,3.8196,5.6115,7.2652,8.7401,9.9997,11.013,11.755,12.208,12.36,12.208,11.755,11.013,9.9997,8.7401,7.2652,0,2.0331,4.0161,5.9003,7.6391,9.1899,10.514,11.58,12.36,12.836,12.996,12.836,12.36,11.58,10.514,9.1899,7.6391,0,1.9336,3.8196,5.6115,7.2652,8.7401,9.9997,11.013,11.755,12.208,12.36,12.208,11.755,11.013,9.9997,8.7401,7.2652,0,1.6448,3.2491,4.7734,6.1802,7.4348,8.5063,9.3683,9.9997,10.385,10.514,10.385,9.9997,9.3683,8.5063,7.4348,6.1802,0,1.195,2.3606,3.4681,4.4902,5.4017,6.1802,6.8065,7.2652,7.5451,7.6391,7.5451,7.2652,6.8065,6.1802,5.4017,4.4902,0,0.62826,1.241,1.8233,2.3606,2.8398,3.2491,3.5784,3.8196,3.9667,4.0161,3.9667,3.8196,3.5784,3.2491,2.8398,2.3606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63776,1.2683,1.8845,2.4793,3.046,3.5782,4.0699,4.5154,4.9098,5.2486,5.5279,5.7445,5.8961,5.9809,5.9979,5.9469,5.8286,5.6442,5.3959,5.0864,4.7193,4.2987,3.8295,3.3168,2.7666,2.185,1.5786,0.95438,0.31933,-0.31933,-0.95438,-1.5786,-2.185,-2.7666,-3.3168,-3.8295,-4.2987,-4.7193,-5.0864,-5.3959,-5.6442,-5.8286,-5.9469,-5.9979,-5.9809,-5.8961,-5.7445,-5.5279,-5.2486,-4.9098,-4.5154,-4.0699,-3.5782,-3.046,-2.4793,-1.8844,-1.2683,-0.63774,2.6798e-05,0,0,0,0,0,-1.8254,-1.4099,-0.95969,-0.48583,0,-3.4722,-2.6818,-1.8254,-0.9241,0,-4.7791,-3.6912,-2.5125,-1.2719,0,-5.6181,-4.3393,-2.9536,-1.4952,0,-5.9072,-4.5626,-3.1056,-1.5722,0,-5.6181,-4.3393,-2.9536,-1.4952,0,-4.7791,-3.6912,-2.5125,-1.2719,0,-3.4722,-2.6818,-1.8254,-0.9241,0,-1.8254,-1.4099,-0.95969,-0.48583,0,0,0,0,0,0,1.8254,1.4099,0.95969,0.48583,0,3.4722,2.6818,1.8254,0.9241,0,4.7791,3.6912,2.5125,1.2719,0,5.6181,4.3393,2.9536,1.4952,0,5.9072,4.5626,3.1056,1.5722,0,5.6181,4.3393,2.9536,1.4952,0,4.7791,3.6912,2.5125,1.2719,0,3.4722,2.6818,1.8254,0.9241,0,1.8254,1.4099,0.95969,0.48583,0,0,0,0,0,0,0,0.63776,1.2683,1.8845,2.4793,3.046,3.5782,4.0699,4.5154,4.9098,5.2486,5.5279,5.7445,5.8961,5.9809,5.9979,5.9469,5.8286,5.6442,5.3959,5.0864,4.7193,4.2987,3.8295,3.3168,2.7666,2.185,1.5786,0.95438,0.31933,-0.31933,-0.95438,-1.5786,-2.185,-2.7666,-3.3168,-3.8295,-4.2987,-4.7193,-5.0864,-5.3959,-5.6442,-5.8286,-5.9469,-5.9979,-5.9809,-5.8961,-5.7445,-5.5279,-5.2486,-4.9098,-4.5154,-4.0699,-3.5782,-3.046,-2.4793,-1.8844,-1.2683,-0.63774,2.6798e-05
-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,-12.998,-12.838,-12.362,-11.581,-10.516,-9.191,-7.64,-5.901,-4.0166,-2.0333,0,2.0333,4.0166,5.901,7.64,9.191,10.516,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.883,12.707,13.31,13.678,13.802,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53,11.53
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
