This file was created by CODIAN@move
Mittwoch, 22. August 2007		22:17

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	500
No. of Steps:	501
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
88.30	64.80	46.60	494	549	493	0.99818
88.30	64.80	46.50	490	546	492	1.00366
88.30	64.80	46.40	495	548	495	1.00000
88.30	64.80	46.30	487	544	491	1.00735
88.30	64.80	46.20	486	543	490	1.00921
88.30	64.80	46.10	492	545	495	1.00550
88.30	64.80	46.00	495	551	492	0.99456
88.30	64.80	45.90	496	549	495	0.99818
88.30	64.80	45.80	496	548	496	1.00000
88.30	64.80	45.70	495	547	496	1.00183
88.30	64.80	45.60	498	547	499	1.00183
88.30	64.80	45.50	500	549	499	0.99818
88.30	64.80	45.40	504	549	503	0.99818
88.30	64.80	45.30	503	550	501	0.99636
88.30	64.80	45.20	499	547	500	1.00183
88.30	64.80	45.10	503	548	503	1.00000
88.30	64.80	45.00	500	546	502	1.00366
88.30	64.80	44.90	503	547	504	1.00183
88.30	64.80	44.80	500	546	502	1.00366
88.30	64.80	44.70	504	547	505	1.00183
88.30	64.80	44.60	508	549	507	0.99818
88.30	64.80	44.50	510	550	508	0.99636
88.30	64.80	44.40	506	546	508	1.00366
88.30	64.80	44.30	508	547	509	1.00183
88.30	64.80	44.20	510	547	511	1.00183
88.30	64.80	44.10	509	547	510	1.00183
88.30	64.80	44.00	512	549	511	0.99818
88.30	64.80	43.90	512	549	511	0.99818
88.30	64.80	43.80	514	551	511	0.99456
88.30	64.80	43.70	511	549	510	0.99818
88.30	64.80	43.60	504	545	507	1.00550
88.30	64.80	43.50	513	548	513	1.00000
88.30	64.80	43.40	513	547	514	1.00183
88.30	64.80	43.30	509	546	511	1.00366
88.30	64.80	43.20	512	546	514	1.00366
88.30	64.80	43.10	511	546	513	1.00366
88.30	64.80	43.00	511	546	513	1.00366
88.30	64.80	42.90	514	548	514	1.00000
88.30	64.80	42.80	518	547	519	1.00183
88.30	64.80	42.70	521	551	518	0.99456
88.30	64.80	42.60	515	545	518	1.00550
88.30	64.80	42.50	522	549	521	0.99818
88.30	64.80	42.40	520	547	521	1.00183
88.30	64.80	42.30	523	549	522	0.99818
88.30	64.80	42.20	520	547	521	1.00183
88.30	64.80	42.10	520	546	522	1.00366
88.30	64.80	42.00	520	546	522	1.00366
88.30	64.80	41.90	523	545	526	1.00550
88.30	64.80	41.80	528	548	528	1.00000
88.30	64.80	41.70	524	547	525	1.00183
88.30	64.80	41.60	524	547	525	1.00183
88.30	64.80	41.50	528	549	527	0.99818
88.30	64.80	41.40	526	549	525	0.99818
88.30	64.80	41.30	524	544	528	1.00735
88.30	64.80	41.20	519	545	522	1.00550
88.30	64.80	41.10	524	545	527	1.00550
88.30	64.80	41.00	522	547	523	1.00183
88.30	64.80	40.90	519	542	525	1.01107
88.30	64.80	40.80	527	545	530	1.00550
88.30	64.80	40.70	526	546	528	1.00366
88.30	64.80	40.60	527	545	530	1.00550
88.30	64.80	40.50	533	548	533	1.00000
88.30	64.80	40.40	526	546	528	1.00366
88.30	64.80	40.30	531	544	535	1.00735
88.30	64.80	40.20	529	545	532	1.00550
88.30	64.80	40.10	538	547	539	1.00183
88.30	64.80	40.00	524	542	530	1.01107
88.30	64.80	39.90	537	547	538	1.00183
88.30	64.80	39.80	534	547	535	1.00183
88.30	64.80	39.70	530	544	534	1.00735
88.30	64.80	39.60	540	548	540	1.00000
88.30	64.80	39.50	527	542	533	1.01107
88.30	64.80	39.40	545	549	544	0.99818
88.30	64.80	39.30	540	546	542	1.00366
88.30	64.80	39.20	539	545	542	1.00550
88.30	64.80	39.10	550	550	548	0.99636
88.30	64.80	39.00	552	551	549	0.99456
88.30	64.80	38.90	550	547	551	1.00183
88.30	64.80	38.80	551	548	551	1.00000
88.30	64.80	38.70	545	546	547	1.00366
88.30	64.80	38.60	550	547	551	1.00183
88.30	64.80	38.50	550	547	551	1.00183
88.30	64.80	38.40	550	544	554	1.00735
88.30	64.80	38.30	558	549	557	0.99818
88.30	64.80	38.20	558	550	556	0.99636
88.30	64.80	38.10	550	544	554	1.00735
88.30	64.80	38.00	556	547	557	1.00183
88.30	64.80	37.90	553	546	555	1.00366
88.30	64.80	37.80	557	545	560	1.00550
88.30	64.80	37.70	559	548	559	1.00000
88.30	64.80	37.60	552	542	558	1.01107
88.30	64.80	37.50	556	546	558	1.00366
88.30	64.80	37.40	541	541	548	1.01294
88.30	64.80	37.30	560	546	562	1.00366
88.30	64.80	37.20	571	552	567	0.99275
88.30	64.80	37.10	565	550	563	0.99636
88.30	64.80	37.00	568	549	567	0.99818
88.30	64.80	36.90	566	549	565	0.99818
88.30	64.80	36.80	562	544	566	1.00735
88.30	64.80	36.70	565	546	567	1.00366
88.30	64.80	36.60	568	546	570	1.00366
88.30	64.80	36.50	568	547	569	1.00183
88.30	64.80	36.40	567	547	568	1.00183
88.30	64.80	36.30	564	544	568	1.00735
88.30	64.80	36.20	566	544	570	1.00735
88.30	64.80	36.10	572	547	573	1.00183
88.30	64.80	36.00	577	548	577	1.00000
88.30	64.80	35.90	579	550	577	0.99636
88.30	64.80	35.80	577	546	579	1.00366
88.30	64.80	35.70	573	545	576	1.00550
88.30	64.80	35.60	568	541	575	1.01294
88.30	64.80	35.50	576	546	578	1.00366
88.30	64.80	35.40	579	545	582	1.00550
88.30	64.80	35.30	579	548	579	1.00000
88.30	64.80	35.20	584	549	583	0.99818
88.30	64.80	35.10	584	548	584	1.00000
88.30	64.80	35.00	578	545	581	1.00550
88.30	64.80	34.90	585	548	585	1.00000
88.30	64.80	34.80	564	539	573	1.01670
88.30	64.80	34.70	563	539	572	1.01670
88.30	64.80	34.60	576	542	582	1.01107
88.30	64.80	34.50	569	542	575	1.01107
88.30	64.80	34.40	568	542	574	1.01107
88.30	64.80	34.30	569	542	575	1.01107
