This file was created by CODIAN@move
Dienstag, 22. Juni 2010		21:38

Profile mode:	1-D-Scan    Z
Timebase Counter [ms]:	1000
No. of Steps:	351
Pos. X	Pos.Y	Pos. Z	Probe	Reference	norm. Probe	norm. Factor
70.00	86.00	63.60	29070	21890000	29030	0.99863
70.00	86.00	63.49	29100	21860000	29100	1.00000
70.00	86.00	63.40	29090	21870000	29077	0.99954
70.00	86.00	63.29	29180	21890000	29140	0.99863
70.00	86.00	63.20	29220	21890000	29180	0.99863
70.00	86.00	63.10	29300	21860000	29300	1.00000
70.00	86.00	63.00	29400	21880000	29373	0.99909
70.00	86.00	62.89	29380	21900000	29326	0.99817
70.00	86.00	62.80	29490	21920000	29409	0.99726
70.00	86.00	62.69	29580	21930000	29486	0.99681
70.00	86.00	62.60	29620	21910000	29552	0.99772
70.00	86.00	62.49	29480	21800000	29561	1.00275
70.00	86.00	62.40	29410	21680000	29654	1.00830
70.00	86.00	62.30	29650	21900000	29596	0.99817
70.00	86.00	62.20	29750	21880000	29723	0.99909
70.00	86.00	62.09	29730	21840000	29757	1.00092
70.00	86.00	62.00	29800	21830000	29841	1.00137
70.00	86.00	61.89	29820	21810000	29888	1.00229
70.00	86.00	61.80	29540	21590000	29909	1.01251
70.00	86.00	61.69	29730	21660000	30005	1.00923
70.00	86.00	61.60	29830	21710000	30036	1.00691
70.00	86.00	61.49	30210	21920000	30127	0.99726
70.00	86.00	61.40	30020	21780000	30130	1.00367
70.00	86.00	61.30	30210	21830000	30252	1.00137
70.00	86.00	61.20	30240	21840000	30268	1.00092
70.00	86.00	61.10	30250	21780000	30361	1.00367
70.00	86.00	61.00	30370	21800000	30454	1.00275
70.00	86.00	60.89	30510	21880000	30482	0.99909
70.00	86.00	60.80	30360	21750000	30514	1.00506
70.00	86.00	60.69	30450	21750000	30604	1.00506
70.00	86.00	60.60	30580	21810000	30650	1.00229
70.00	86.00	60.49	30800	21920000	30716	0.99726
70.00	86.00	60.40	31290	22200000	30811	0.98468
70.00	86.00	60.29	31310	22190000	30844	0.98513
70.00	86.00	60.20	31050	21980000	30880	0.99454
70.00	86.00	60.09	30600	21620000	30940	1.01110
