MaxMod,WheelNo,WheelID,Outputfactor [MU/Gy],BM3/SMC1,BM1/SMC1,SMC1/SMC2,SMC1io,SMC1ud,SMC1lr,SMC2io,SMC2ud,SMC2lr
16.2,301,81716001,#NAME?,#NAME?,0.7694+0.0009824*a^1-7.5569e-6*a^2,106.81-2.4258*a^1+0.020793*a^2-0.000078048*a^3+0.00000010851*a^4,0.79662-0.0039646*a^1+0.0000082368*a^2,1.942-0.0072398*a^1+0.00001598*a^2,0.39445+0.005788*a^1-0.000015776*a^2,0.63551-0.0027742*a^1+0.0000055411*a^2,2.4943-0.013592*a^1+0.000032382*a^2,0.51417+0.0046467*a^1-0.000012992*a^2
13.7,302,81712501,32361200-280455*a+897.9080*a^2,#NAME?,#NAME?,1.648+0.010064*a^1-0.000026275*a^2,0.67937-0.00273*a^1+0.0000049866*a^2,1.2947-0.00087019*a^1+0.00000044631*a^2,1.0279-0.00080098*a^1+0.0000011259*a^2,0.574-0.0020987*a^1+0.0000036879*a^2,1.3671-0.0023259*a^1+0.0000043107*a^2,1.2145-0.0026213*a^1+0.0000057494*a^2
9.4,303,81708501,10303400-57585*a+272.5578*a^2,0.21653+0.00059085*a^1-0.0000018025*a^2,0.38742+0.0034587*a^1-0.0000078884*a^2,2.4328+0.0019235*a^1-0.0000051663*a^2,0.67309-0.0026522*a^1+0.0000047253*a^2,1.1671+0.00031666*a^1-0.0000022361*a^2,0.85725+0.0009134*a^1-0.0000031696*a^2,0.55425-0.0018877*a^1+0.0000030982*a^2,1.2719-0.0014732*a^1+0.0000024797*a^2,1.0403-0.00086474*a^1+0.0000013294*a^2
