,k,m
R35v1,-0.011958882917623398,1.2030142575017726
R32v3,-0.010678784685645473,1.2518859931486046
R29v2,-0.0069926572476882425,1.1936435140072537
R26v2,-0.007841946411283227,1.2964514337502722
R23v3,-0.0022120115567384017,1.191902765119821
R20v3,0.003477656551157503,1.1040614530889934
R17v2,0.005650050271671013,1.0810305387394217
R14v3,0.00938613681447846,1.0333482802748832
R11v2,0.019584624336630996,0.9496301542162521
