MaxMod,WheelNo,WheelID,Outputfactor [MU/Gy],BM3/SMC1,BM1/SMC1,SMC1/SMC2,SMC1io,SMC1ud,SMC1lr,SMC2io,SMC2ud,SMC2lr
30.5,811,83230001,323888+233793*a-1041.6714*a^2,#NAME?,#NAME?,2.713+0.00021834*a^1-0.000083675*a^2+0.00000085049*a^3,1.3806-0.012908*a^1+0.000052457*a^2,1.5836-0.0088626*a^1+0.000054532*a^2,0.77262+0.0040032*a^1-0.000027748*a^2,1.2031-0.011844*a^1+0.000051645*a^2,1.3994-0.0065166*a^1+0.00004014*a^2,0.7859+0.0040409*a^1-0.000029017*a^2
28,802,83227501,5257580+36377*a+333.8233*a^2,0.24367+0.00013193*a^1-0.0000039363*a^2,0.59878+0.00057747*a^1-0.00001027*a^2,2.6034+0.00038085*a^1-0.0000040058*a^2,1.4065-0.013485*a^1+0.000054619*a^2,1.2954-0.0011156*a^1+0.0000044742*a^2,0.88891+0.00049805*a^1-0.0000012604*a^2,1.186-0.011143*a^1+0.000045116*a^2,1.164-0.00011195*a^1-0.0000016831*a^2,0.8938+0.00073363*a^1-0.000003745*a^2
24.1,803,83224501,4187570+49842*a+101.4884*a^2,0.25881-0.00010288*a^1-0.00000084491*a^2,0.64094-0.00019092*a^1-0.00000063012*a^2,2.6199-0.00033776*a^1+0.0000031011*a^2,1.4209-0.013675*a^1+0.000055534*a^2,1.2928-0.00096771*a^1+0.0000042532*a^2,0.89506+0.00012299*a^1+0.0000018114*a^2,1.2042-0.01144*a^1+0.000046918*a^2,1.162+0.0000017605*a^1-0.0000016872*a^2,0.89604+0.00050366*a^1-0.0000019111*a^2
20.3,804,83220001,3692140+47275*a+50.1642*a^2,0.26488-0.00010352*a^1-0.00000011421*a^2,0.6529-0.00010701*a^1+0.00000058203*a^2,2.6104-0.000040097*a^1+0.00000044772*a^2,1.431-0.013788*a^1+0.000056498*a^2,1.3263-0.0018592*a^1+0.0000094778*a^2,0.86462+0.0010166*a^1-0.0000056044*a^2,1.2091-0.011384*a^1+0.000046338*a^2,1.2057-0.0012896*a^1+0.0000072268*a^2,0.87952+0.00091646*a^1-0.0000052041*a^2
16.6,805,83216001,3361010+41246*a+33.7497*a^2,0.27055-0.00011523*a^1+0.00000028391*a^2,0.66486-0.000083876*a^1+0.0000012798*a^2,2.6086-0.000046219*a^1+0.00000055088*a^2,1.4426-0.013969*a^1+0.000057497*a^2,1.315-0.0015104*a^1+0.0000069127*a^2,0.87388+0.00073325*a^1-0.0000037768*a^2,1.2193-0.011534*a^1+0.000047093*a^2,1.1947-0.00095091*a^1+0.0000047624*a^2,0.88828+0.00065173*a^1-0.0000034811*a^2
13.4,806,83212201,3011300+35637*a+39.2241*a^2,0.27331-0.000073569*a^1+0.00000019764*a^2,0.6728-0.000022275*a^1+0.0000014231*a^2,2.6067-0.00002411*a^1+0.00000044301*a^2,1.4526-0.01412*a^1+0.000058192*a^2,1.3039-0.0011102*a^1+0.0000037905*a^2,0.88214+0.00041274*a^1-0.000001239*a^2,1.2286-0.011682*a^1+0.000047801*a^2,1.1853-0.00062082*a^1+0.0000022042*a^2,0.89666+0.00032939*a^1-0.00000094909*a^2
8.2,807,83207401,2302740+32637*a+7.5114*a^2,0.2781-0.000075415*a^1+0.00000043521*a^2,0.68788-0.00010402*a^1+0.0000025486*a^2,2.6065-0.000060739*a^1+0.00000061564*a^2,1.4633-0.014259*a^1+0.000058745*a^2,1.3075-0.0011855*a^1+0.0000041516*a^2,0.8871+0.00025915*a^1-0.00000011406*a^2,1.2387-0.011829*a^1+0.000048445*a^2,1.1879-0.00067759*a^1+0.0000024758*a^2,0.90134+0.00018471*a^1+0.00000012659*a^2
