101,102,103,201,202,301,302,303,401,402,403,404,501,502,503,504,505,511,601,611,602,603,604,605,701,702,703,704,705,706,801,802,803,804,805,806,807,811,901,902,903,904,905,906,907,908
0.42023,0.461898,0.493517,0.42987,0.493672,0.38282,0.414819,0.491848,0.313778,0.353885,0.398307,0.46724,0.29535,0.323299,0.357646,0.408235,0.482196,0.315989,0.29905,0.319373,0.33596,0.365988,0.423668,0.479786,0.269769,0.297942,0.32342,0.362605,0.412702,0.487242,0.26886,0.292933,0.317689,0.344874,0.376428,0.415356,0.50304,0.282102,0.2731,0.29501,0.315584,0.337728,0.364512,0.397306,0.441117,0.504498
0.12803,0.140725,0.150358,0.15788,0.181313,0.13877,0.15037,0.178292,0.090222,0.101754,0.114528,0.134348,0.07981,0.085633,0.09473,0.10813,0.12772,0.083696,0.09784,0.104489,0.109916,0.11974,0.138611,0.156971,0.076005,0.083943,0.091121,0.102161,0.116275,0.137276,0.04729,0.051524,0.055879,0.06066,0.06621,0.073057,0.08848,0.049619,0.04562,0.04928,0.052717,0.056416,0.06089,0.066368,0.073686,0.084274
0.07859,0.086383,0.092296,0.10919,0.125396,0.09907,0.107351,0.127285,0.030444,0.034336,0.038646,0.045334,0.05502,0.05963,0.065965,0.075296,0.088938,0.058282,0.06928,0.075498,0.079419,0.086518,0.100153,0.113419,0.040482,0.04471,0.048533,0.054413,0.061931,0.073117,0.06158,0.067094,0.072764,0.07899,0.086218,0.095134,0.115217,0.064613,0.06426,0.069415,0.074256,0.079467,0.085769,0.093485,0.103794,0.118708
0.07881,0.086624,0.092554,0.09135,0.104908,0.08357,0.090555,0.107371,0.047556,0.053634,0.060367,0.070814,0.04594,0.049789,0.055079,0.06287,0.07426,0.048664,0.05743,0.062585,0.065835,0.071719,0.083022,0.094019,0.042037,0.046427,0.050397,0.056503,0.064309,0.075924,0.00354,0.003857,0.004183,0.004541,0.004956,0.005469,0.006623,0.003714,0.00271,0.002927,0.003132,0.003351,0.003617,0.003943,0.004377,0.005006
0.06951,0.076402,0.081632,0.08247,0.09471,0.07411,0.080305,0.095217,0.029556,0.033333,0.037518,0.044011,0.04016,0.043525,0.048149,0.05496,0.064917,0.042541,0.05018,0.054684,0.057524,0.062665,0.072541,0.08215,0.034992,0.038646,0.041951,0.047033,0.053532,0.0632,0.05837,0.063596,0.068971,0.074873,0.081723,0.090175,0.109211,0.061245,0.05971,0.0645,0.068999,0.07384,0.079696,0.086866,0.096445,0.110302
0.07633,0.083898,0.089642,0.07782,nan,0.07169,0.077682,nan,0.042444,0.04787,0.053879,0.063203,0.03572,0.038713,0.042826,0.048884,0.05774,0.037838,0.04499,0.049028,0.051574,0.056184,0.065039,0.073654,0.032761,0.036183,0.039277,0.044035,0.050119,0.059172,0.05035,0.054858,0.059494,0.064585,0.070495,0.077785,0.094205,0.05283,0.0511,0.0552,0.059049,0.063193,0.068204,0.07434,0.082538,0.094397
0.05829,0.06407,nan,0.05142,nan,0.07284,0.078929,nan,0.022667,0.025564,0.028773,0.033752,0.03428,0.037152,0.041099,0.046913,0.055412,0.036312,0.04166,0.045399,0.047757,0.052025,0.060225,nan,0.030278,0.033441,0.0363,0.040698,0.046321,0.054687,0.04448,0.048463,0.052558,0.057056,0.062276,0.068716,0.083223,0.046671,0.04486,0.048459,0.051838,0.055476,0.059876,0.065262,0.072459,0.08287
0.09021,nan,nan,nan,nan,0.07714,nan,nan,0.039111,0.04411,0.049647,0.05824,0.0302,0.032731,0.036208,0.041329,0.048817,0.03199,0.03925,0.042773,0.044994,0.049016,0.056741,nan,0.027341,0.030197,0.032779,0.03675,0.041828,0.049383,0.04002,0.043603,0.047288,0.051335,0.056032,0.061826,nan,0.041991,0.04039,0.04363,0.046673,0.049948,0.053909,0.058759,0.065239,nan
    nan,nan,nan,nan,nan,nan,nan,nan,0.019333,0.021805,0.024542,0.028789,0.03076,0.033337,0.036879,0.042096,nan,0.032584,0.03742,0.040779,0.042897,0.04673,nan,nan,0.026736,0.029528,0.032053,0.035936,0.040901,nan,0.03739,0.040738,0.044181,0.047961,0.052349,0.057763,nan,0.039232,0.03739,0.04039,0.043206,0.046238,0.049905,0.054395,0.060393,nan
