MaxMod,WheelNo,WheelID,Outputfactor [MU/Gy],BM3/SMC1,BM1/SMC1,SMC1/SMC2,SMC1io,SMC1ud,SMC1lr,SMC2io,SMC2ud,SMC2lr
33.3,901,83532401,7302000+99465*a+175.8655*a^2,0.1847+0.0039508*a^1-0.00011005*a^2+0.00000083514*a^3,0.4083+0.01488*a^1-0.00041348*a^2+0.0000032925*a^3,2.2884+0.027473*a^1-0.00073765*a^2+0.0000062075*a^3,1.2207-0.013755*a^1+0.000077736*a^2,1.3519-0.0040811*a^1+0.000036354*a^2,0.85069+0.0024892*a^1-0.000029842*a^2,1.0056-0.010902*a^1+0.000060518*a^2,1.2264-0.0033185*a^1+0.000032964*a^2,0.87667+0.0018902*a^1-0.000023986*a^2
29.9,902,83528501,7039720+55871*a+274.6199*a^2,0.24511-0.000023282*a^1-0.0000024931*a^2,0.61614-0.000082159*a^1-0.0000047494*a^2,2.6052+0.00045713*a^1-0.0000061254*a^2,1.2202-0.013046*a^1+0.000068119*a^2,1.3054-0.00116*a^1+0.00000067825*a^2,0.87694+0.00065886*a^1-0.0000065107*a^2,1.003-0.010055*a^1+0.000049658*a^2,1.1907-0.00097963*a^1+0.0000033697*a^2,0.89871+0.00022973*a^1-0.0000018662*a^2
26.2,903,83524701,6268400+53951*a+176.6018*a^2,0.2538-0.000020086*a^1-0.0000015812*a^2,0.64065-0.00024956*a^1-0.0000001749*a^2,2.6095+0.000060174*a^1-0.00000026606*a^2,1.2359-0.013234*a^1+0.000067367*a^2,1.3057-0.001316*a^1+0.000006278*a^2,0.86728+0.00061337*a^1-0.0000024855*a^2,1.0209-0.010457*a^1+0.000052117*a^2,1.1847-0.00076364*a^1+0.0000039706*a^2,0.8835+0.00054606*a^1-0.0000024796*a^2
22.4,904,83521001,5682570+52074*a+110.4920*a^2,0.25945-0.00001289*a^1-0.00000097057*a^2,0.65344-0.00016776*a^1+0.00000066577*a^2,2.6101-0.000040334*a^1+0.00000075145*a^2,1.2437-0.01334*a^1+0.000068314*a^2,1.3032-0.001219*a^1+0.0000046541*a^2,0.87451+0.00030411*a^1-0.00000019099*a^2,1.0274-0.010527*a^1+0.00005265*a^2,1.1822-0.00068061*a^1+0.0000026557*a^2,0.89096+0.00023041*a^1-0.000000027989*a^2
18.5,905,83517501,5149460+47403*a+94.6011*a^2,0.26427+0.0000016539*a^1-0.00000078321*a^2,0.66607-0.0001732*a^1+0.0000017585*a^2,2.6059+0.000060359*a^1-0.00000016621*a^2,1.249-0.01339*a^1+0.000068258*a^2,1.3088-0.0012181*a^1+0.0000048998*a^2,0.87823+0.00012866*a^1+0.0000016001*a^2,1.0329-0.010593*a^1+0.000052802*a^2,1.186-0.00063889*a^1+0.0000024692*a^2,0.8942+0.000078705*a^1+0.000001499*a^2
15.1,906,83514001,4647130+42740*a+83.9705*a^2,0.26762+0.000034694*a^1-0.00000081323*a^2,0.67521-0.00013991*a^1+0.0000022056*a^2,2.6069-0.000056073*a^1+0.0000010435*a^2,1.2566-0.013563*a^1+0.0000697*a^2,1.318-0.0013393*a^1+0.0000050886*a^2,0.8692+0.0002611*a^1+0.00000066374*a^2,1.0397-0.010746*a^1+0.000053988*a^2,1.1943-0.00075216*a^1+0.0000027219*a^2,0.88583+0.00019762*a^1+0.00000069771*a^2
11.7,907,83510701,4108670+39264*a+60.1707*a^2,0.27131+0.000029602*a^1-0.00000057347*a^2,0.68455-0.00014701*a^1+0.0000026778*a^2,2.606-0.000044619*a^1+0.00000090966*a^2,1.2616-0.013634*a^1+0.000069959*a^2,1.3304-0.0017867*a^1+0.0000097725*a^2,0.87334+0.00032486*a^1-0.00000037404*a^2,1.0438-0.010803*a^1+0.000054221*a^2,1.2054-0.0011575*a^1+0.0000069528*a^2,0.89048+0.00023592*a^1-0.0000001091*a^2
8.3,908,83507401,3526910+35552*a+35.9944*a^2,0.27359+0.000063461*a^1-0.00000076379*a^2,0.69092-0.00011323*a^1+0.0000028319*a^2,2.6062-0.00011259*a^1+0.0000014297*a^2,1.267-0.01374*a^1+0.000070698*a^2,1.321-0.0013669*a^1+0.0000054121*a^2,0.86977+0.00050405*a^1-0.0000021779*a^2,1.0482-0.010883*a^1+0.000054728*a^2,1.1966-0.00077653*a^1+0.0000029816*a^2,0.88622+0.0004406*a^1-0.0000021541*a^2
