MaxMod,WheelNo,WheelID,Outputfactor [MU/Gy],BM3/SMC1,BM1/SMC1,SMC1/SMC2,SMC1io,SMC1ud,SMC1lr,SMC2io,SMC2ud,SMC2lr,,,,,,,,,,,,
13.3,201,81412501,173604*a-132.5552*a^2 -18367100,0.43659-0.00084398*a-2.2558e-7*a^2,3.4278-0.021962*a+4.3607e-5*a^2,4.719099-0.01901542*a+0.00004249981*a^2,0.59263-0.0017587*a^1+0.0000024906*a^2,1.8138-0.0056718*a^1+0.000011622*a^2,0.86672+0.00048443*a^1-0.0000014723*a^2,0.52724-0.0015363*a^1+0.0000021916*a^2,1.5232-0.0037946*a^1+0.0000078384*a^2,0.92178+0.000038304*a^1-0.00000037518*a^2
9.1,202,81408201,23565700-182484*a+565.1181*a^2,0.073622+0.0019305*a^1-0.0000049448*a^2,0.0088165*a^1-0.000020358*a^2 -0.19039,2.3707+0.0024026*a^1-0.0000060835*a^2,0.61813-0.0019572*a^1+0.0000028356*a^2,1.3542-0.0015954*a^1+0.00000267*a^2,0.99974-0.00069952*a^1+0.0000011623*a^2,0.58419-0.0020188*a^1+0.0000031745*a^2,1.155-0.00048598*a^1+0.00000047367*a^2,0.94625-0.00019576*a^1+0.00000018524*a^2
