MaxMod,WheelNo,WheelID,Outputfactor [MU/Gy],BM3/SMC1,BM1/SMC1,SMC1/SMC2,SMC1io,SMC1ud,SMC1lr,SMC2io,SMC2ud,SMC2lr,,,,,,,,,,,,
24.8,611,82623001,646987+103238*a,#NAME?,#NAME?,0.50499+0.057627*a^1-0.0005205*a^2+0.0000015518*a^3,0.88123-0.0051732*a^1+0.000013309*a^2,1.3408-0.0024015*a^1+0.0000087095*a^2,0.90613+0.00034664*a^1-0.0000018117*a^2,0.78974-0.0048488*a^1+0.0000133*a^2,1.1599-0.00068814*a^1+0.0000019644*a^2,0.86115+0.0013244*a^1-0.0000061432*a^2
20.8,602,82620301,2460000+64192*a,0.23685+0.00042622*a^1-0.0000029591*a^2,0.57889+0.0016988*a^1-0.0000083321*a^2,2.6041+0.00014229*a^1-0.00000094682*a^2,0.87065-0.0049118*a^1+0.000011886*a^2,1.2209-0.00031531*a^1-0.000000055903*a^2,0.91806+0.000099213*a^1-0.00000029387*a^2,0.75908-0.004253*a^1+0.000010506*a^2,1.101+0.00038643*a^1-0.0000025978*a^2,0.90875+0.00043726*a^1-0.0000018448*a^2
17.5,603,82616401,2740000+51598*a,0.25494+0.00016337*a^1-0.0000013385*a^2,0.62589+0.00096669*a^1-0.0000036529*a^2,2.6135-0.000056588*a^1+0.000000041817*a^2,0.87074-0.0048954*a^1+0.000011798*a^2,1.2505-0.00080607*a^1+0.0000018841*a^2,0.89302+0.00055618*a^1-0.0000023817*a^2,0.75213-0.0041179*a^1+0.0000099068*a^2,1.1538-0.0005187*a^1+0.0000011827*a^2,0.9042+0.00053302*a^1-0.0000023417*a^2
12.5,604,82611601,2730000+39022*a,0.26609+0.00006616*a^1-0.00000058815*a^2,0.6557+0.00067893*a^1-0.0000014086*a^2,2.6129-0.000086062*a^1+0.00000027394*a^2,0.87653-0.0049628*a^1+0.000011981*a^2,1.2398-0.00061487*a^1+0.000001103*a^2,0.93901-0.00021029*a^1+0.00000074051*a^2,0.7581-0.004192*a^1+0.000010116*a^2,1.1472-0.00040247*a^1+0.00000071799*a^2,0.94923-0.00021656*a^1+0.00000071142*a^2
9.3,605,82608401,2410000+33900*a,0.26644+0.00010532*a^1-0.00000061253*a^2,0.66766+0.00059768*a^1-0.00000066786*a^2,2.6301-0.0003868*a^1+0.0000014842*a^2,0.87881-0.0049853*a^1+0.000012025*a^2,1.2505-0.0007815*a^1+0.0000017483*a^2,0.92706-0.000036208*a^1+0.000000051868*a^2,0.75888-0.0041926*a^1+0.000010075*a^2,1.1514-0.00046766*a^1+0.00000096693*a^2,0.94018-0.000087997*a^1+0.00000020154*a^2
